forward_out_noise,backward_out_noise,desired_bl,train_loss,train_acc,test_loss,test_acc,train_time_sec
0.0,0.0,1,0.3900860054175059,0.8921833333333333,0.35209517340660096,0.902,42.998698833999995
0.0,0.2,1,0.39206579230626426,0.89245,0.3495639914035797,0.9043,40.256767958000005
0.0,0.4,1,0.39679600017865496,0.8907666666666667,0.3525546431779861,0.9023,38.459844915999994
0.0,0.6,1,0.4072364566167196,0.88965,0.3655669476747513,0.9025,35.30393683400001
0.0,0.8,1,0.41650854007403054,0.8847,0.3679266218662262,0.8971,38.05926099999999
0.0,1.0,1,0.4084507520039876,0.8862,0.36487485420703886,0.9023,39.57046750000001
0.2,0.0,1,0.44411511699358625,0.8675666666666667,0.39899681668281556,0.8829,37.594411457999996
0.2,0.2,1,0.4601962274869283,0.8591,0.4212887365579605,0.8725,35.04056379100001
0.2,0.4,1,0.4661599099159241,0.8576666666666667,0.41343990285396576,0.8752,35.010118457999965
0.2,0.6,1,0.4863991230805715,0.8479666666666666,0.4470574187755585,0.8619,36.29252975000003
0.2,0.8,1,0.49732835580507917,0.8467166666666667,0.44641933839321135,0.8637,34.11352075000002
0.2,1.0,1,0.5377604459444681,0.8309166666666666,0.47822103135585786,0.8494,49.618622625
0.4,0.0,1,0.7006109296321869,0.7870833333333334,0.6307578537940979,0.8139,40.82450754100006
0.4,0.2,1,0.7619559840838115,0.7762666666666667,0.6885029623031617,0.7971,53.011995458
0.4,0.4,1,0.7271740743637085,0.7855166666666666,0.682425684261322,0.8,50.04865129199993
0.4,0.6,1,0.8700703882217408,0.7726666666666666,0.8257039381980896,0.7936,38.63982854200003
0.4,0.8,1,0.887688361342748,0.7629666666666667,0.8190542572975159,0.7907,37.7104941660001
0.4,1.0,1,0.9239056104024251,0.7609833333333333,0.8781516798973084,0.7812,35.60833887499996
0.6,0.0,1,1.5027044963518779,0.6988666666666666,1.6996066244125365,0.7111,34.392102291000015
0.6,0.2,1,1.348863294092814,0.72585,1.3436027548789977,0.7499,34.46200404199999
0.6,0.4,1,1.4502037176767986,0.71425,1.4798989723205567,0.733,38.57730512499995
0.6,0.6,1,1.7409144010543822,0.70895,1.6968635974884034,0.7355,40.784478082999954
0.6,0.8,1,1.8983041670481364,0.6831666666666667,2.037246558189392,0.6903,37.18022108399998
0.6,1.0,1,2.3444113969167075,0.6909166666666666,2.6086238597869875,0.6926,38.49092100000007
0.8,0.0,1,3.1900584175109863,0.6343333333333333,3.4130432750701902,0.6582,35.074469375000035
0.8,0.2,1,2.605587694231669,0.6653333333333333,2.673231446838379,0.6852,40.66830679199995
0.8,0.4,1,3.2797961017608643,0.6290333333333333,3.3896794708251954,0.6624,41.9583117090001
0.8,0.6,1,2.884511517842611,0.6904833333333333,2.6305104288101195,0.726,40.856943999999885
0.8,0.8,1,3.478287686920166,0.6556,3.7153865783691407,0.6576,36.5038629579999
0.8,1.0,1,3.421389724858602,0.67745,3.340019595909119,0.7047,46.601227249999965
1.0,0.0,1,nan,0.09871666666666666,nan,0.098,35.30690716700019
1.0,0.2,1,nan,0.09871666666666666,nan,0.098,38.7886745830001
1.0,0.4,1,nan,0.09871666666666666,nan,0.098,39.325956916999985
1.0,0.6,1,nan,0.09871666666666666,nan,0.098,34.835006667000016
1.0,0.8,1,nan,0.09871666666666666,nan,0.098,35.59425420799994
1.0,1.0,1,nan,0.09871666666666666,nan,0.098,42.67735954099999
0.0,0.0,3,0.3865304985523224,0.8928833333333334,0.34573611760139467,0.9032,41.038897874999975
0.0,0.2,3,0.3907699762185415,0.8932,0.34612062664031984,0.9044,37.84327891699991
0.0,0.4,3,0.3876685530026754,0.8904166666666666,0.3492381773710251,0.9013,36.56371037500003
0.0,0.6,3,0.398654962905248,0.8883166666666666,0.3549196726322174,0.8983,38.95841425000003
0.0,0.8,3,0.39859268204371134,0.8875,0.3501386228084564,0.9006,37.05444820899993
0.0,1.0,3,0.4309561136404673,0.8823666666666666,0.3826966506958008,0.8951,34.22597079100001
0.2,0.0,3,0.4474465304215749,0.86605,0.403856444311142,0.878,33.074962959000004
0.2,0.2,3,0.4534648036956787,0.86145,0.41245538244247437,0.8799,35.09333566700002
0.2,0.4,3,0.45863958825270335,0.8636,0.40685790388584137,0.8796,34.34322874999998
0.2,0.6,3,0.481739976533254,0.8507833333333333,0.4248898610115051,0.8681,34.71518025
0.2,0.8,3,0.496236994711558,0.8448833333333333,0.45218717727661134,0.8611,34.81652299999996
0.2,1.0,3,0.5363577131589253,0.8308166666666666,0.489931368803978,0.8509,36.02883229100007
0.4,0.0,3,0.6602345574537913,0.7935,0.5910461469650269,0.8232,37.60330208300002
0.4,0.2,3,0.6990335197607677,0.7888,0.6572463900089264,0.8083,35.17865416699988
0.4,0.4,3,0.923941623878479,0.7658166666666667,0.8933399562835693,0.7921,34.78569500000003
0.4,0.6,3,0.8239333148002624,0.77845,0.7947366369247436,0.7965,37.70378583399997
0.4,0.8,3,1.1462692694981893,0.7519333333333333,1.1876857231140137,0.7683,37.728990459000215
0.4,1.0,3,0.9635115349292755,0.75205,0.9357828394889831,0.7749,34.86137229199994
0.6,0.0,3,1.2598833987236022,0.7195333333333334,1.3137375297546388,0.7445,32.50123379200022
0.6,0.2,3,1.3615376626650493,0.7193166666666667,1.3745973457336427,0.7379,34.2734367500002
0.6,0.4,3,nan,0.5762833333333334,nan,0.098,34.00915316700002
0.6,0.6,3,1.9219020637512207,0.6906666666666667,2.1365247375488283,0.6991,33.99635087500019
0.6,0.8,3,nan,0.5000833333333333,nan,0.098,35.483711958000185
